ID_PERGUNTA,TOPICO,PERGUNTA_TEXTO,TIPO_RESPOSTA,OPCOES_RESPOSTA,GATILHO,VAI_PARA_ID,DEPENDÊNCIA,PESO_RISCO,TEXTO_LAUDO
Q13.2,químicos,Empresa possui a ficha técnica (Ficha de Dados de Segurança - FDS) de todos os produtos químicos e perigosos usados no seu processo industrial e manutenção?,S / N,,Não,Q13.1.1,Responder S no Q13,9,
Q13.1.1,químicos,Foi feita tabela de compatibilidade dos produtos químicos e perigosos armazenados na empresa para evitar reações ou manuseio incorreto?,S / N,,Não,Q13.3,Responder S no Q13,8,Conhecer e mapear eventuais incompatibilidades entre produtos e resíduos evita acidentes e/ou reações adversas.
Q13.3,químicos,O local onde são guardados os produtos químicos e perigosos é sinalizado?,S / N,,Não,Q14,Responder S no Q13,8,
Q14,químicos,Na sua empresa é permitido fumar?,S / N,,Não,Q15,,6,Verifique se no seu Estado ou Município existe legislação específica que indique a proibição de fumar em locais fechados ou ambientes de trabalho
Q15,resíduos ,É feita a segregação dos resíduos gerados na empresa?,S / N,,Não,Q16,,10,
Q16,resíduos ,A empresa possui Plano de Gerenciamento de Resíduos (PGRS ou PGRSI)?,S / N,,Não,Q16.1,,9,É uma obrigação estabelecida na Política Nacional de Resíduos Sólidos possuir um Plano de Gerenciamento de Resíduos atualizado e com responsável técnico
Q16.1,resíduos ,O Plano de Gerenciamento de Resíduos da sua empresa está válido? Considerar 12 meses da data da emissão do documento,S / N,,Não,Q16.2,,9,
Q16.2,resíduos ,"Sua empresa mantém responsável técnico pela emissão e manutenção do Plano de Gerenciamento de Resíduos com anotação de responsabilidade técnica (ART, AFT,..) em vigor ",S / N,,Não,Q17,,9,É uma obrigação estabelecida na Política Nacional de Resíduos Sólidos possuir um Plano de Gerenciamento de Resíduos atualizado e com responsável técnico
Q17,resíduos ,São emitidos MTRs (Movimento de Transporte de Resíduo) para todo o transporte e destinação de resíduos realizados?,S / N,,Não,Q18,,10,Toda movimentação de resíduos industriais deve ser feita acompanhada do MTR correspondente.
Q18,efluentes,Os efluentes sanitários (esgoto) gerado na empresa está sendo tratado?,S / N,,Não,Q18.1,,,
Q18.1,efluentes,Quem faz o tratamento dos esgotos gerados pela empresa? ,,( )ela mesma Q18.2; ( )concessionária pública; ( ) terceiro contratado Q18.2,Não,Q18.2,,,
Q18.2,efluentes,A empresa faz controle da qualidade dos efluentes após o tratamento?,S / N,,Não,Q18.3,,,
Q18.3,efluentes,O lançamento dos efluentes sanitários é feito onde?,,( ) rede coletora pública; ( ) corpo hídrico; ( ) solo; ( )reutilizado,Não,Q19,,,
Q19,efluentes,A atividade industrial realizada e na limpeza da fábrica são gerados efluentes industriais?,S / N,,Não,Q19.1,,,
Q19.1,efluentes,Os efluentes industriais gerados na empresa estão sendo tratados?,S / N,,,,,,
